value,Wall,Door_Start,Door,Door_Passed,Wall_End
0,0.1723404255319149,0.025,0.0071428571428571435,0.025,0.02
1,0.04468085106382979,0.025,0.0071428571428571435,0.025,0.02
2,0.04468085106382979,0.025,0.0071428571428571435,0.025,0.02
3,0.04468085106382979,0.025,0.0071428571428571435,0.025,0.42000000000000004
4,0.3638297872340426,0.025,0.2928571428571428,0.525,0.22000000000000003
5,0.23617021276595743,0.775,0.65,0.275,0.22000000000000003
6,0.04468085106382979,0.025,0.0071428571428571435,0.025,0.02
7,0.02340425531914894,0.025,0.0071428571428571435,0.025,0.02
8,0.02340425531914894,0.025,0.0071428571428571435,0.025,0.02
9,0.002127659574468085,0.025,0.0071428571428571435,0.025,0.02
