location,IR1,IR2,IR3,IR4,IR5,IR6,IR7,IR8,IR9,PIDP1,PIDP2,PIDP3,PIDP4,PIDP5,PIDP6,PIDP7,PIDP8,PIDP9,PIDD1,PIDD2,PIDD3,PIDD4,PIDD5,PIDD6,PIDD7,PIDD8,PIDD9,PIDI1,PIDI2,PIDI3,PIDI4,PIDI5,PIDI6,PIDI7,PIDI8,PIDI9,BI1,BI2,BI3,BI4,BI5,BI6,BI7,BI8,BI9
Wall,5,5,5,5,5,5,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wall,5,5,5,5,5,5,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wall,5,5,5,5,5,5,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wall,5,5,5,5,5,5,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wall,5,5,5,5,5,5,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door_Start,5,5,5,5,5,5,15,5,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door_Start,5,5,5,5,5,5,18,5,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door_Start,5,5,5,5,5,5,20,5,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door_Start,5,5,5,5,5,5,22,5,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door_Start,5,5,5,5,5,5,25,5,5,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door,5,5,5,5,5,5,30,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door,5,5,5,5,5,5,32,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door,5,5,5,5,5,5,35,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door,5,5,5,5,5,5,33,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door,5,5,5,5,5,5,31,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door_Passed,5,5,5,5,5,5,25,5,5,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door_Passed,5,5,5,5,5,5,22,5,5,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door_Passed,5,5,5,5,5,5,20,5,5,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door_Passed,5,5,5,5,5,5,15,5,5,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Door_Passed,5,5,5,5,5,5,10,5,5,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wall,0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-375.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8780000000000001,False,False,False,False,False,False,False,False,False
Wall,0,0,0,0,0,0,0,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-375.6,-178.49400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8780000000000001,-2.7704700000000004,False,False,False,False,False,False,False,False,False
Wall,0,0,0,0,0,0,9,9,9,0.0,0.0,0.0,0.0,0.0,0.0,-375.6,-178.49400000000003,-375.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,492.765,-492.765,0.0,0.0,0.0,0.0,0.0,0.0,-1.8780000000000001,-2.7704700000000004,-4.6484700000000005,False,False,False,False,False,False,False,False,False
Wall,0,0,0,0,0,9,9,9,9,0.0,0.0,0.0,0.0,0.0,-375.6,-178.49400000000003,-375.6,-375.6,0.0,0.0,0.0,0.0,0.0,0.0,492.765,-492.765,0.0,0.0,0.0,0.0,0.0,0.0,-1.8780000000000001,-2.7704700000000004,-4.6484700000000005,-6.526470000000001,False,False,False,False,False,False,False,False,False
Wall,0,0,0,0,9,9,9,9,9,0.0,0.0,0.0,0.0,-375.6,-178.49400000000003,-375.6,-375.6,-178.49400000000003,0.0,0.0,0.0,0.0,0.0,492.765,-492.765,0.0,492.765,0.0,0.0,0.0,0.0,-1.8780000000000001,-2.7704700000000004,-4.6484700000000005,-6.526470000000001,-7.41894,False,False,False,False,False,False,False,False,False
Wall,0,0,0,9,9,9,9,9,9,0.0,0.0,0.0,-375.6,-178.49400000000003,-375.6,-375.6,-178.49400000000003,-375.6,0.0,0.0,0.0,0.0,492.765,-492.765,0.0,492.765,-492.765,0.0,0.0,0.0,-1.8780000000000001,-2.7704700000000004,-4.6484700000000005,-6.526470000000001,-7.41894,-9.29694,False,False,False,False,False,False,False,False,False
Wall,0,0,9,9,9,9,9,9,9,0.0,0.0,-375.6,-178.49400000000003,-375.6,-375.6,-178.49400000000003,-375.6,-375.6,0.0,0.0,0.0,492.765,-492.765,0.0,492.765,-492.765,0.0,0.0,0.0,-1.8780000000000001,-2.7704700000000004,-4.6484700000000005,-6.526470000000001,-7.41894,-9.29694,-11.17494,False,False,False,False,False,False,False,False,False
Wall,0,9,9,9,9,9,9,9,9,0.0,-375.6,-178.49400000000003,-375.6,-375.6,-178.49400000000003,-375.6,-375.6,-375.6,0.0,0.0,492.765,-492.765,0.0,492.765,-492.765,0.0,0.0,0.0,-1.8780000000000001,-2.7704700000000004,-4.6484700000000005,-6.526470000000001,-7.41894,-9.29694,-11.17494,-13.05294,False,False,False,False,False,False,False,False,False
Wall,9,9,9,9,9,9,9,9,9,-375.6,-178.49400000000003,-375.6,-375.6,-178.49400000000003,-375.6,-375.6,-375.6,-375.6,0.0,492.765,-492.765,0.0,492.765,-492.765,0.0,0.0,0.0,-1.8780000000000001,-2.7704700000000004,-4.6484700000000005,-6.526470000000001,-7.41894,-9.29694,-11.17494,-13.05294,-14.930939999999998,False,False,False,False,False,False,False,False,False
Wall,9,9,9,9,9,9,9,9,9,-178.49400000000003,-375.6,-375.6,-178.49400000000003,-375.6,-375.6,-375.6,-375.6,-178.49400000000003,492.765,-492.765,0.0,492.765,-492.765,0.0,0.0,0.0,492.765,-2.7704700000000004,-4.6484700000000005,-6.526470000000001,-7.41894,-9.29694,-11.17494,-13.05294,-14.930939999999998,-15.823409999999999,False,False,False,False,False,False,False,False,False
Wall,9,9,9,9,9,9,9,9,9,-375.6,-375.6,-178.49400000000003,-375.6,-375.6,-375.6,-375.6,-178.49400000000003,-178.49400000000003,-492.765,0.0,492.765,-492.765,0.0,0.0,0.0,492.765,0.0,-4.6484700000000005,-6.526470000000001,-7.41894,-9.29694,-11.17494,-13.05294,-14.930939999999998,-15.823409999999999,-16.71588,False,False,False,False,False,False,False,False,False
